Id,Sales_Order #,Date,Day,Month,Year,Customer_Age,Age_Group,Customer_Gender,Country,State,Product_Category,Sub_Category,Product_Description,Order_Quantity,Unit_Cost,Unit_Price,Profit,Cost,Revenue
1,261695,12/1/2021,1,December,2021,39,Adults (35-64),Female,United States,California,Bikes,Mountain Bikes,"Mountain-200 Black, 46",4,"$1,252.00 ","$2,295.00 ","$4,172.00 ","$5,008.00 ","$9,180.00 "
2,261695,12/1/2021,1,December,2021,44,Adults (35-64),Male,United Kingdom,England,Bikes,Mountain Bikes,"Mountain-200 Silver, 42",1,"$1,266.00 ","$2,320.00 ","$1,054.00 ","$1,266.00 ","$2,320.00 "
3,261697,12/2/2021,2,December,2021,37,Adults (35-64),Male,United States,California,Bikes,Mountain Bikes,"Mountain-400-W Silver, 46",2,$420.00 ,$769.00 ,$698.00 ,$840.00 ,"$1,538.00 "
4,261698,12/2/2021,2,December,2021,31,Young Adults (25-34),Female,Australia,New South Wales,Bikes,Mountain Bikes,"Mountain-400-W Silver, 42",1,$420.00 ,$769.00 ,$349.00 ,$420.00 ,$769.00 
5,261699,12/3/2021,3,December,2021,37,Adults (35-64),Female,United States,California,Bikes,Mountain Bikes,"Mountain-200 Black, 46",2,"$1,252.00 ","$2,295.00 ","$2,086.00 ","$2,504.00 ","$4,590.00 "
6,261700,12/3/2021,3,December,2021,24,Youth (<25),Female,United Kingdom,England,Bikes,Mountain Bikes,"Mountain-200 Black, 38",1,"$1,252.00 ","$2,295.00 ","$1,043.00 ","$1,252.00 ","$2,295.00 "
7,261701,12/3/2021,3,December,2021,37,Adults (35-64),Male,United States,Washington,Bikes,Mountain Bikes,"Mountain-200 Black, 46",1,"$1,252.00 ","$2,295.00 ","$1,043.00 ","$1,252.00 ","$2,295.00 "
8,261701,12/3/2021,3,December,2021,37,Adults (35-64),Male,United States,Washington,Bikes,Mountain Bikes,"Mountain-200 Black, 46",1,"$1,252.00 ","$2,295.00 ","$1,043.00 ","$1,252.00 ","$2,295.00 "
9,261702,12/4/2021,4,December,2021,31,Young Adults (25-34),Female,Australia,New South Wales,Bikes,Mountain Bikes,"Mountain-400-W Silver, 42",4,$420.00 ,$769.00 ,"$1,396.00 ","$1,680.00 ","$3,076.00 "
10,261703,12/5/2021,5,December,2021,39,Adults (35-64),Female,United States,California,Bikes,Mountain Bikes,"Mountain-200 Black, 46",4,"$1,252.00 ","$2,295.00 ","$4,172.00 ","$5,008.00 ","$9,180.00 "
11,261704,12/5/2021,5,December,2021,42,Adults (35-64),Male,Germany,Nordrhein-Westfalen,Bikes,Mountain Bikes,"Mountain-200 Black, 38",4,"$1,252.00 ","$2,295.00 ","$4,172.00 ","$5,008.00 ","$9,180.00 "
12,261705,12/5/2021,5,December,2021,35,Adults (35-64),Female,Australia,Queensland,Bikes,Mountain Bikes,"Mountain-200 Silver, 38",1,"$1,266.00 ","$2,320.00 ","$1,054.00 ","$1,266.00 ","$2,320.00 "
13,261706,12/5/2021,5,December,2021,37,Adults (35-64),Female,United States,California,Bikes,Mountain Bikes,"Mountain-200 Black, 46",1,"$1,252.00 ","$2,295.00 ","$1,043.00 ","$1,252.00 ","$2,295.00 "
14,261707,12/6/2021,6,December,2021,23,Youth (<25),Male,United Kingdom,England,Bikes,Mountain Bikes,"Mountain-400-W Silver, 46",3,$420.00 ,$769.00 ,"$1,047.00 ","$1,260.00 ","$2,307.00 "
15,261708,12/6/2021,6,December,2021,27,Young Adults (25-34),Male,Canada,British Columbia,Bikes,Mountain Bikes,"Mountain-200 Black, 46",1,"$1,252.00 ","$2,295.00 ","$1,043.00 ","$1,252.00 ","$2,295.00 "
16,261709,12/6/2021,6,December,2021,36,Adults (35-64),Male,Australia,New South Wales,Bikes,Mountain Bikes,"Mountain-200 Black, 42",1,"$1,252.00 ","$2,295.00 ","$1,043.00 ","$1,252.00 ","$2,295.00 "
17,261710,12/6/2021,6,December,2021,47,Adults (35-64),Male,United Kingdom,England,Bikes,Mountain Bikes,"Mountain-200 Silver, 38",1,"$1,266.00 ","$2,320.00 ","$1,054.00 ","$1,266.00 ","$2,320.00 "
18,261711,12/7/2021,7,December,2021,30,Young Adults (25-34),Male,United States,California,Bikes,Mountain Bikes,"Mountain-400-W Silver, 38",4,$420.00 ,$769.00 ,"$1,396.00 ","$1,680.00 ","$3,076.00 "
19,261712,12/7/2021,7,December,2021,38,Adults (35-64),Male,United States,California,Bikes,Mountain Bikes,"Mountain-200 Silver, 42",2,"$1,266.00 ","$2,320.00 ","$2,108.00 ","$2,532.00 ","$4,640.00 "
20,261713,12/8/2021,8,December,2021,19,Youth (<25),Female,Australia,New South Wales,Bikes,Mountain Bikes,"Mountain-500 Silver, 42",4,$308.00 ,$565.00 ,"$1,028.00 ","$1,232.00 ","$2,260.00 "
21,261714,12/8/2021,8,December,2021,30,Young Adults (25-34),Female,Canada,British Columbia,Bikes,Mountain Bikes,"Mountain-200 Silver, 38",4,"$1,266.00 ","$2,320.00 ","$4,216.00 ","$5,064.00 ","$9,280.00 "
22,261715,12/8/2021,8,December,2021,39,Adults (35-64),Female,United States,Oregon,Bikes,Mountain Bikes,"Mountain-200 Black, 46",2,"$1,252.00 ","$2,295.00 ","$2,086.00 ","$2,504.00 ","$4,590.00 "
23,261716,12/8/2021,8,December,2021,35,Adults (35-64),Female,United States,California,Bikes,Mountain Bikes,"Mountain-500 Black, 42",1,$295.00 ,$540.00 ,$245.00 ,$295.00 ,$540.00 
24,261717,12/9/2021,9,December,2021,33,Young Adults (25-34),Female,Australia,Victoria,Bikes,Mountain Bikes,"Mountain-100 Black, 38",2,"$1,898.00 ","$3,375.00 ","$2,954.00 ","$3,796.00 ","$6,750.00 "
